demand_i,station_j,m,t,flow_X,travel_time
4,1621,3,2,0.09962040732981725,123.49068450927734
74,1213,2,1,0.088,132.210205078125
95,1646,0,2,0.132,135.58953857421875
85,1052,0,3,0.08457771776655332,115.4173812866211
62,240,2,3,0.154,118.71685791015625
16,902,0,0,0.14537717188808377,130.62660217285156
93,346,2,2,0.132,114.6578369140625
42,648,1,2,0.09647273203632378,124.9762191772461
52,1391,0,1,0.088,111.52420806884766
46,1437,0,2,0.132,134.24464416503906
77,1743,3,1,0.088,117.96814727783203
58,810,3,3,0.01200000000000001,126.07738494873047
67,1422,0,2,0.132,130.15176391601562
66,1549,1,2,0.132,132.06277465820312
92,1485,0,2,0.132,128.9812774658203
33,519,3,1,0.088,129.72862243652344
16,558,1,0,0.12996839971955007,130.5614013671875
88,1413,0,0,0.1517298400100744,127.55491638183594
52,944,2,1,0.088,117.03491973876953
24,475,2,2,0.132,124.61547088623047
93,1816,3,1,0.088,115.24203491210938
24,998,1,2,0.132,128.33494567871094
112,405,0,1,0.088,118.89717102050781
89,85,0,2,0.06490061001232961,147.51055908203125
2,1162,0,3,0.02192329931454068,106.36582946777344
80,448,0,2,0.132,104.89043426513672
105,64,3,2,0.132,132.6448211669922
77,1259,0,2,0.055162976469760205,121.34909057617188
99,922,1,1,0.088,
63,521,2,3,0.02192127927683976,125.10698699951172
63,1688,0,0,0.04282279421554397,123.13948822021484
33,78,2,1,0.088,127.87297821044922
75,862,2,0,0.0012668253191070525,123.18672943115234
34,255,1,3,0.07100112804057329,112.91914367675781
88,1793,3,2,0.132,134.443359375
82,334,1,0,0.12264824130988253,129.0450439453125
71,1113,3,1,0.025425711917124838,135.96240234375
31,1882,1,1,0.088,125.0190658569336
84,401,2,1,0.01020170769918026,110.9894027709961
88,1433,2,2,0.132,131.51849365234375
3,1199,2,2,0.132,149.8568115234375
14,537,0,1,0.088,137.92333984375
70,1942,3,3,0.0013889323887566196,118.0608901977539
83,1537,0,1,0.06718757135830725,127.47322082519531
16,1711,1,1,0.088,138.2382049560547
0,636,0,3,0.01200000000000001,119.20838165283203
49,58,1,1,0.088,121.95406341552734
52,274,2,2,0.132,115.54942321777344
96,1165,0,3,0.006213435919308279,113.66064453125
16,66,1,2,0.03292298816814698,124.69855499267578
16,263,2,0,0.154,126.58838653564453
66,1375,0,2,0.132,131.9874725341797
89,1057,3,1,0.05414723876631866,147.34030151367188
39,313,0,1,0.088,131.6964569091797
51,365,3,3,0.154,119.063232421875
105,744,0,1,0.088,143.1735382080078
92,1004,2,1,0.088,127.17374420166016
1,521,3,2,0.132,125.49390411376953
54,694,0,2,0.132,139.09214782714844
58,1754,2,2,0.132,128.6319580078125
89,1103,1,2,0.132,143.0882568359375
28,1426,2,1,0.088,128.86752319335938
28,319,2,2,0.132,106.76277923583984
92,1240,0,1,0.088,129.37274169921875
36,536,1,2,0.10332102339383897,125.06304931640625
70,659,3,2,0.132,117.70347595214844
44,1889,3,2,0.132,138.0310516357422
16,263,0,3,0.08429997595942676,126.58838653564453
33,1459,3,3,0.01200000000000001,123.2021255493164
52,1338,0,2,0.132,113.72921752929688
57,16,3,1,0.088,127.61872863769531
92,615,2,0,0.154,126.69939422607422
52,1845,1,2,0.132,111.25714111328125
58,1606,3,3,0.1,126.03926849365234
71,678,2,1,0.088,139.04981994628906
112,921,2,1,0.088,121.8759536743164
0,1284,2,2,0.132,118.5784912109375
54,1096,2,1,0.088,140.50599670410156
52,666,3,1,0.027829377793847823,125.88329315185547
16,1545,2,2,0.132,124.85896301269531
63,182,1,1,0.03859693107540205,127.56768798828125
16,1106,3,2,0.132,136.03997802734375
43,1540,0,3,0.03423561549291615,121.15424346923828
52,1937,1,2,0.132,113.63845825195312
52,831,2,1,0.088,119.42169952392578
31,705,3,1,0.088,123.20901489257812
107,223,0,0,0.08678737317536356,123.76400756835938
62,888,0,2,0.132,119.53306579589844
66,341,2,1,0.088,127.13237762451172
24,1415,2,2,0.10918121048002805,97.89253997802734
34,1165,1,2,0.132,125.01331329345703
71,238,0,2,0.132,136.8934326171875
52,894,2,1,0.088,119.27938079833984
8,1235,2,2,0.132,128.80894470214844
63,1699,0,2,0.132,126.42735290527344
59,1795,3,3,0.020270780542253675,132.4958953857422
75,350,3,2,0.132,125.70026397705078
28,1444,1,2,0.132,125.94300079345703
52,877,2,3,0.154,110.40229034423828
30,1756,2,2,0.09250317932855978,114.3449935913086
44,164,1,3,0.1,137.21603393554688
79,718,3,2,0.0875226965004734,150.7630615234375
32,1812,1,2,0.132,128.01446533203125
52,1402,1,2,0.132,118.49024200439453
44,786,0,3,0.01200000000000001,138.05804443359375
70,365,3,1,0.07047282086105625,120.0744400024414
92,615,0,3,0.154,126.69939422607422
61,1723,3,2,0.07097141807033608,133.6435089111328
28,871,3,1,0.088,105.81856536865234
52,1349,3,1,0.088,120.17220306396484
62,553,1,0,0.07336893421409768,117.87826538085938
33,1155,0,2,0.132,127.78056335449219
77,197,3,1,0.088,118.90817260742188
49,426,0,2,0.132,127.85709381103516
11,159,0,2,0.132,140.83978271484375
28,347,2,2,0.132,110.48572540283203
113,456,3,3,0.02237553026738298,123.70520782470703
52,1465,1,2,0.132,110.89873504638672
59,1410,1,2,0.05821877805585718,150.5833282470703
8,901,0,0,0.154,125.13526916503906
18,553,3,3,0.029424783629574958,120.13478088378906
52,1026,2,2,0.132,118.7978515625
24,1648,1,1,0.088,123.50054168701172
106,44,0,1,0.088,137.32847595214844
107,994,1,3,0.154,124.20215606689453
32,674,0,2,0.132,128.83421325683594
28,206,2,2,0.132,108.41876220703125
62,2024,3,0,0.05612160117655443,117.62643432617188
52,1675,1,3,0.154,109.58290100097656
83,670,0,2,0.03603804051443682,121.12739562988281
52,980,0,3,0.154,112.97105407714844
87,1932,0,2,0.132,138.92385864257812
89,755,2,3,0.154,140.21807861328125
102,1144,1,1,0.088,138.52903747558594
70,511,3,0,0.057107286020432385,118.5927734375
38,1339,1,2,0.06311365139238279,127.73104858398438
58,1095,0,1,0.088,125.83617401123047
52,1766,3,3,0.154,111.18428039550781
15,141,0,1,0.0005243501888523017,132.33380126953125
92,1120,2,3,0.154,118.31332397460938
87,1602,3,1,0.001709139414916988,133.7193145751953
39,859,1,2,0.03771409542495785,128.1324462890625
112,224,0,2,0.132,122.56635284423828
33,910,0,1,0.088,124.88729858398438
28,1298,2,1,0.088,125.75482177734375
16,1868,2,1,0.088,130.59153747558594
92,1267,0,2,0.132,128.75852966308594
97,798,0,3,0.154,127.44629669189453
105,165,0,3,0.11539015183712983,133.09605407714844
8,1706,3,1,0.088,127.01868438720703
33,474,1,1,0.088,121.36383056640625
52,1167,3,1,0.088,116.4385986328125
4,748,2,2,0.132,123.77698516845703
24,86,1,0,0.03598538931521561,115.66881561279297
82,1921,3,2,0.132,132.80160522460938
67,232,3,3,0.045936989925877636,124.9438247680664
70,1266,2,2,0.132,119.1239242553711
84,1567,3,2,0.12884190138582285,111.13727569580078
52,541,1,1,0.088,114.38414001464844
46,1156,3,1,0.088,126.96083068847656
14,155,2,3,0.1,133.36865234375
52,637,2,1,0.088,121.20697021484375
16,367,2,2,0.132,140.95721435546875
19,1413,2,1,0.06347708362537174,125.567626953125
19,930,0,0,0.154,125.40093231201172
